"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MCU_Tweets: He still has a date... #AvengersEndgame https://t.co/eeKQVyqgvS",FALSE,0,NA,2018-12-10 09:16:07,FALSE,NA,"1072057363413131265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sykrhmn07",1684,TRUE,FALSE,NA,NA
"2","RT @Overseasrights: And Rest is history 😂😂😂

#BoyaMass #VinayaVidheyaRama 
#VVR #AvengersEndgame #Avengers4 https://t.co/mGD2FGCCbW",FALSE,0,NA,2018-12-10 09:16:03,FALSE,NA,"1072057343972585472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ajithreddysking",5,TRUE,FALSE,NA,NA
"3","RT @MarvelNewsCast: Talking about 2 #MarvelStudios trailers on this week’s #podcast! #CaptainMarvel #AvengersEndgame https://t.co/xnUKtUPAsA",FALSE,0,NA,2018-12-10 09:15:49,FALSE,NA,"1072057287039246337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","canoestheone",5,TRUE,FALSE,NA,NA
"4","RT @MCU_Tweets: He still has a date... #AvengersEndgame https://t.co/eeKQVyqgvS",FALSE,0,NA,2018-12-10 09:15:41,FALSE,NA,"1072057254336176128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Maria4LOL",1684,TRUE,FALSE,NA,NA
"5","RT @Avengers: To the greatest fans in the world, thank you for being there from the beginning til the endgame and making Marvel Studios’ #A…",FALSE,0,NA,2018-12-10 09:15:40,FALSE,NA,"1072057250095673344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramadipr",17823,TRUE,FALSE,NA,NA
"6","RT @MatthewACherry: How Thanos was spending his post snap retirement in his garden between #InfinityWar &amp; #AvengersEndGame https://t.co/ObB…",FALSE,0,NA,2018-12-10 09:15:34,FALSE,NA,"1072057224690843649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarrysShortFor",3994,TRUE,FALSE,NA,NA
"7","RT @ComicBooksTalk: Pepper getting her own suit after seeing Tony's message 
#AvengersEndgame  https://t.co/RuZSkwatJk",FALSE,0,NA,2018-12-10 09:15:30,FALSE,NA,"1072057205418012673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HerbatkaLipton",700,TRUE,FALSE,NA,NA
"8","RT @RenataKonkoly: Tony Stark should not worry for a second, help is on the way. @elonmusk @SpaceX #AvengersEndgame https://t.co/DImN1fzcuN",FALSE,0,NA,2018-12-10 09:15:20,FALSE,NA,"1072057165194674181",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FullSpeedLDMT",1407,TRUE,FALSE,NA,NA
"9","RT @RenataKonkoly: Tony Stark should not worry for a second, help is on the way. @elonmusk @SpaceX #AvengersEndgame https://t.co/DImN1fzcuN",FALSE,0,NA,2018-12-10 09:15:19,FALSE,NA,"1072057159616126976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chris_guti6",1407,TRUE,FALSE,NA,NA
"10","RT @HydroRayz: “Part of the journey is the end.”

It’s the perfect time to do this again before #AvengersEndgame https://t.co/tkAQz3Vq0H",FALSE,0,NA,2018-12-10 09:15:12,FALSE,NA,"1072057129807241219",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theylovetyea",5575,TRUE,FALSE,NA,NA
"11","RT @MCU_Tweets: He still has a date... #AvengersEndgame https://t.co/eeKQVyqgvS",FALSE,0,NA,2018-12-10 09:15:05,FALSE,NA,"1072057102607118336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Acbbach",1684,TRUE,FALSE,NA,NA
"12","RT @melting_wine: We request you all to stop asking us to save Tony Stark from space.

#AvengersEndgame #Marvel #NASA #jk",FALSE,0,NA,2018-12-10 09:15:03,FALSE,NA,"1072057095082532864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","d_syha",937,TRUE,FALSE,NA,NA
"13","RT @NifabulousO: Anticipating #AvengersEndgame #Aquaman #JohnWick. Be ready to get your tickets with @oseletickets #NowPlaying #MondayMotiv…",FALSE,0,NA,2018-12-10 09:14:48,FALSE,NA,"1072057031761252352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Iam_fahmooh",2,TRUE,FALSE,NA,NA
"14","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:14:38,FALSE,NA,"1072056986202722304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ivan_Darij",2352,TRUE,FALSE,NA,NA
"15","RT @Avengers: Here's your first look at the poster for Marvel Studios' #AvengersEndgame, in theaters April 26, 2019! https://t.co/kPSJKcnriq",FALSE,0,NA,2018-12-10 09:14:35,FALSE,NA,"1072056977591652352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GAnekrat",33871,TRUE,FALSE,NA,NA
"16","RT @i_yogesh22: Aree Bc Sarook Sir in #AvengersEndgame 😂 https://t.co/0s5MuV6WnR",FALSE,0,NA,2018-12-10 09:14:35,FALSE,NA,"1072056975431688192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dev_FIRANGI",25,TRUE,FALSE,NA,NA
"17","Now that’s just amazing. 👌 Can you spot #Thor’s hammer? 🤫

#AvengersEndgame #marvel #nasa https://t.co/1FAilCiU7x",FALSE,0,NA,2018-12-10 09:14:30,FALSE,NA,"1072056954942578688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SquareOFortune",0,FALSE,FALSE,NA,NA
"18","Wait what ? Ant man to save us ? 
#Avengers4 #AvengersEndgame",FALSE,0,NA,2018-12-10 09:14:30,FALSE,NA,"1072056954053382144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lindo816",0,FALSE,FALSE,NA,NA
"19","RT @NifabulousO: Anticipating #AvengersEndgame #Aquaman #JohnWick. Be ready to get your tickets with @oseletickets #NowPlaying #MondayMotiv…",FALSE,0,NA,2018-12-10 09:14:26,FALSE,NA,"1072056939478167552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","omowale08",2,TRUE,FALSE,NA,NA
"20","RT @YahooMoviesUK: The #AvengersEndgame trailer has smashed the record for most views in 24 hours. https://t.co/mGaqgwp7hA",FALSE,0,NA,2018-12-10 09:14:13,FALSE,NA,"1072056884444708864",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CeceCalabrese",1,TRUE,FALSE,NA,NA
"21","This is the end... #AvengersEndGame https://t.co/cE6HPrhVRu",FALSE,1,NA,2018-12-10 09:14:10,FALSE,NA,"1072056870955872262",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FCruz30",0,FALSE,FALSE,NA,NA
"22","Bring Him Home
#AvengersEndgame 
#TonyStark https://t.co/FWnNH1Y2du",FALSE,0,NA,2018-12-10 09:14:10,FALSE,NA,"1072056868866936832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nadudusheshe",0,FALSE,FALSE,NA,NA
